DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P6230,P6240,P6240S1,P6250,P6260,P6270,P6280,P6290,P6290S1,P6300,P6310,P6310S1,P6320,P6330,P6340,P6350,P6351,CLASE,DPTO,fex_c_2011
646478,1,2,50,2,4,,1,,,,,,,,,,,,,,2,25,186.157.607.264.699
646478,1,3,50,3,4,,2,2,2,1,2,,,,,,,,,1,2,25,186.157.607.264.699
646478,1,4,50,4,1,,,,,,,,,,,,,,,,2,25,186.157.607.264.699
646478,1,5,50,2,6,DESCANSANDO,2,2,2,2,,,2,,,,,,,,2,25,186.157.607.264.699
646479,1,1,50,1,6,ESTABA ENFERMO,2,2,2,1,1,,,,,,,,,1,2,25,389.757.564.489.165
646480,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,368.035.677.025.137
646480,1,2,50,2,4,,2,2,2,2,,,1,10,,,,,,,2,25,368.035.677.025.137
646481,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,329.408.388.896.535
646481,1,2,50,2,4,,1,,,,,,,,,,,,,,2,25,329.408.388.896.535
646481,1,3,50,2,3,,1,,,,,,,,,,,,,,2,25,329.408.388.896.535
646481,1,4,50,2,3,,2,2,2,2,,,2,,,,,,,,2,25,329.408.388.896.535
646483,1,1,50,2,1,,,,,,,,,,,,,,,,2,25,357.231.170.588.945
646483,1,2,50,2,4,,2,2,2,2,,,2,,,,,,,,2,25,357.231.170.588.945
646483,1,3,50,2,3,,2,2,2,2,,,2,,,,,,,,2,25,357.231.170.588.945
646483,1,4,50,2,3,,2,2,2,2,,,2,,,,,,,,2,25,357.231.170.588.945
646484,1,1,50,1,1,,,,,,,,,,,,,,,,2,25,337.253.197.566.784
646484,1,2,50,1,1,,,,,,,,,,,,,,,,2,25,337.253.197.566.784
646490,1,1,50,3,5,,,,,,,,,,,,,,,,2,25,353.873.965.020.441
646490,1,2,50,3,4,,2,2,2,2,,,2,,,,,,,,2,25,353.873.965.020.441
646490,1,3,50,3,1,,,,,,,,,,,,,,,,2,25,353.873.965.020.441
