DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;FT;DPTO;fex_c_2011;AREA
4048891;1;1;1;50;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;1181,5472379866;05
4048891;1;2;1;50;1; ; ;2;6;VER TELEVISION;2;2;2;2;1;11; ; ; ; ; ; ;05;1;05;1181,5472379866;05
4048891;1;3;1;50;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1181,5472379866;05
4048891;1;4;1;50;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;1181,5472379866;05
4048892;1;1;1;50;1;3; ;1;4; ;2;2;2;1; ; ; ; ; ; ; ;1;05;1;05;1397,3104266838;05
4048893;1;1;1;50;1;2; ;1;4; ;2;2;2;1; ; ; ; ; ; ; ;1;05;1;05;1412,58123007231;05
4048893;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1412,58123007231;05
4048894;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1181,44861770995;05
4048894;1;2;1;50;1; ; ;2;4; ;2;2;2;2;1;7; ;1;2; ; ; ;05;1;05;1181,44861770995;05
4048895;1;1;1;50;1; ; ;1;6;CAMINAR Y VER TELEVISION;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;1258,85091582043;05
4048896;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;831,790308043841;05
4048896;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;831,790308043841;05
4048896;1;3;1;50;1; ; ;3;3; ;2;2;2;2;1;12; ; ; ; ; ; ;05;1;05;831,790308043841;05
4048896;1;4;1;50;1; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;831,790308043841;05
4048896;1;5;1;50;1; ; ;5;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;831,790308043841;05
4048897;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1040,0095972904;05
4048897;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1040,0095972904;05
4048897;1;3;1;50;1; ; ;3;3; ;2;2;2;2;1;12; ; ; ; ; ; ;05;1;05;1040,0095972904;05
4048898;1;1;1;50;1; ; ;1;6;GIMNASIA PARA ADULTO MAYOR;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;1034,68645931627;05
4048898;1;2;1;50;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;1034,68645931627;05
4048898;1;3;1;50;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;1034,68645931627;05
4048899;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1089,21407888721;05
4048899;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1089,21407888721;05
4048899;1;3;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1089,21407888721;05
4048899;1;4;1;50;1; ; ;2;6;JUGAR CAMINAR;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;1089,21407888721;05
4048900;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1088,43262670001;05
4048901;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1170,20701604037;05
4048901;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1170,20701604037;05
4048902;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1165,45320135971;05
4048902;1;2;1;50;1; ; ;2;6;TEJER;2;2;2;2;2; ; ; ; ; ; ; ;05;1;05;1165,45320135971;05
4048902;1;3;1;50;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1165,45320135971;05
4048903;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1521,39734493146;05
4048903;1;2;1;50;1; ; ;2;4; ;2;2;2;2;1;7; ;2; ;2; ; ;05;1;05;1521,39734493146;05
4048904;1;1;1;50;1; ; ;1;6;ACOMPANANDO A UNA HERMANA ENFERMA;1; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1040,0095972904;05
4048904;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1040,0095972904;05
4048904;1;3;1;50;1;3; ;3;3; ;2;2;2;1; ; ; ; ; ; ; ;1;05;1;05;1040,0095972904;05
4048905;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1102,68537652929;05
4048905;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1102,68537652929;05
4048906;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1318,40914806749;05
4048906;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1318,40914806749;05
4048907;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1318,40914806749;05
4048907;1;2;1;50;1; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;05;1;05;1318,40914806749;05
4048908;1;1;1;50;1; ; ;1;6;CAMINAR Y VER TELEVISION;2;2;2;2;1;8; ;2; ;1;3;1;05;1;05;1151,20045153044;05
4048908;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;05;1151,20045153044;05
