Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P6290;P6290s1;P6230;P6240;P6240s1;P6250;P6260;P6270;P6280;P6300;P6310;P6310s1;P6320;P6330;P6340;P6350;P6351;Mes;Ft;Dpto;Fex_c_2011;Area
3726252;1;3;1;50;1; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;17;146,475817853817;17
3726253;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;17;158,207472328513;17
3726253;1;2;1;50;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;17;158,207472328513;17
3726253;1;3;1;50;1; ; ;3;6;VIENDO TELEVISION;1; ; ; ; ; ; ; ; ; ; ; ;05;1;17;158,207472328513;17
3726254;1;1;1;50;1; ; ;1;6;VER TELEVISION;2;2;2;2;2; ; ; ; ; ; ; ;05;1;17;239,689480611104;17
3726254;1;2;1;50;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;17;239,689480611104;17
3726254;1;3;1;50;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;17;239,689480611104;17
3726255;1;1;1;50;1; ; ;1;4; ;2;2;2;2;1;10; ; ; ; ; ; ;05;1;15;175,860176420585;15
3726255;1;2;1;50;1; ; ;2;6;PENSIONADO;2;2;2;2;2; ; ; ; ; ; ; ;05;1;15;175,860176420585;15
3726255;1;3;1;50;1; ; ;3;3; ;2;2;2;2;1;12; ; ; ; ; ; ;05;1;15;175,860176420585;15
3726256;1;1;1;50;1; ; ;1;4; ;2;2;2;2;1;4; ;1;2; ; ; ;05;1;15;235,881575460513;15
3726256;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;15;235,881575460513;15
3726256;1;3;1;50;1; ; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;15;235,881575460513;15
3726257;1;1;1;50;1; ; ;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ;05;1;15;186,961917306126;15
3726257;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;15;186,961917306126;15
3726258;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;15;163,875239140328;15
3726258;1;2;1;50;1; ; ;2;3; ;2;2;1; ; ; ; ; ; ; ; ; ;05;1;15;163,875239140328;15
3726259;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;15;100,728938873228;15
3726259;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;15;100,728938873228;15
3726260;1;1;1;50;1; ; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;15;81,4741005458309;15
3726260;1;2;1;50;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;15;81,4741005458309;15
3726261;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;15;52,4687862036743;15
3726261;1;2;1;50;1; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;05;1;15;52,4687862036743;15
3726262;1;1;1;50;1; ; ;1;6;PARO MAGISTERIO;2;1; ; ; ; ; ; ; ; ; ; ;05;1;15;112,969946480325;15
3726262;1;2;1;50;1; ; ;2;6;PARO MAGISTERIO;2;1; ; ; ; ; ; ; ; ; ; ;05;1;15;112,969946480325;15
3726263;1;1;1;50;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;15;87,812448878933;15
3726264;1;1;1;50;1;2; ;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;05;1;15;112,685098420975;15
3726265;1;1;1;50;1; ; ;1;6;HOSPITALIZADA;2;1; ; ; ; ; ; ; ; ; ; ;05;1;15;112,272277956127;15
3726265;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;15;112,272277956127;15
3726266;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;15;112,969946480325;15
3726266;1;2;1;50;1;3; ;2;2; ;2;2;2;1; ; ; ; ; ; ; ;1;05;1;15;112,969946480325;15
3726267;1;1;1;50;1; ; ;1;6;INCAPACITADO TEMPORALMENTE POR ENFERMEDAD;2;1; ; ; ; ; ; ; ; ; ; ;05;1;15;112,685098420975;15
3726268;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;73;222,505026267788;73
3726268;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;73;222,505026267788;73
3726269;1;1;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;73;273,726756539343;73
3726269;1;2;1;50;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;05;1;73;273,726756539343;73
3726269;1;3;1;50;1; ; ;3;3; ;2;2;2;2;1;12; ; ; ; ; ; ;05;1;73;273,726756539343;73
3726269;1;4;1;50;1; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;73;273,726756539343;73
3726269;1;5;1;50;1; ; ;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;73;273,726756539343;73
3726270;1;1;1;50;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;73;336,135918864951;73
3726270;1;2;1;50;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1;73;336,135918864951;73
