Directorio;Secuencia_p;Orden;Hogar;Regis;P6016;P6020;P6030;P6030s1;P6030s3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210s1;P6220;Clase;Esc;Mes;Dpto;Fex_c_2011
3373329;1;2;1;10;2;2;1;4;1984;29;2;3;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;12;70;765,261535100878
3373329;1;3;1;10;2;2;1;11;2000;13;3;6;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;12;70;765,261535100878
3373329;1;4;1;10;2;1;1;6;2004;9;3; ;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;12;70;765,261535100878
3373329;1;5;1;10;2;2;1;6;2008;5;3; ;1; ; ;3; ; ;2;2;1;1;2;1; ;2;0;12;70;765,261535100878
3373330;1;1;1;10;1;1;1;1;1954;59;1;5;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;12;70;809,021643190718
3373330;1;2;1;10;2;1;1;3;1995;18;4;6;1; ; ;3; ; ;2;1;1;1;4;9; ;2;9;12;70;809,021643190718
3373330;1;3;1;10;1;1;1;5;1996;17;4;6;1; ; ;3; ; ;2;1;1;1;4;9; ;2;9;12;70;809,021643190718
3373331;1;1;1;10;1;1;1;6;1940;73;1;2;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;12;70;507,862327262901
3373331;1;2;1;10;2;2;1;5;1948;65;2;2;2;1;10; ; ; ;2;2;2; ;1;0; ;2;0;12;70;507,862327262901
3373331;1;3;1;10;3;2;1;4;1996;17;4;6;2;1;10; ; ; ;2;1;1;1;5;10;1;2;10;12;70;507,862327262901
3373331;1;4;1;10;2;2;1;4;2010;3;4; ;2;2; ; ; ; ;2;2;2; ;1;0; ;2;0;12;70;507,862327262901
3373332;1;1;1;10;1;1;1;7;1968;45;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;12;70;785,308047380689
3373332;1;2;1;10;2;2;1;4;1973;40;2;2;2;1;5; ; ; ;2;1;2; ;3;5; ;2;5;12;70;785,308047380689
3373332;1;3;1;10;2;1;1;2;1998;15;3;6;2;1;5; ; ; ;2;1;2; ;3;5; ;2;5;12;70;785,308047380689
3373332;1;4;1;10;2;1;1;2;2008;5;4; ;1; ; ;3; ; ;2;2;1;1;2;1; ;2;0;12;70;785,308047380689
3373333;1;1;1;10;1;2;1;3;1952;61;1;4;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;12;70;676,333221738855
3373333;1;2;1;10;2;1;1;11;1983;30;3;6;2;2; ; ; ; ;2;1;2; ;3;3; ;2;3;12;70;676,333221738855
3373333;1;3;1;10;3;1;1;7;1986;27;3;6;2;2; ; ; ; ;2;1;2; ;3;5; ;2;5;12;70;676,333221738855
3373333;1;4;1;10;4;1;1;3;1988;25;3;6;2;2; ; ; ; ;2;1;2; ;3;4; ;2;4;12;70;676,333221738855
3373333;1;5;1;10;5;1;1;2;1990;23;3;6;2;2; ; ; ; ;2;1;2; ;5;11;2;2;11;12;70;676,333221738855
3373334;1;1;1;10;1;1;1;3;1982;31;1;2;2;2; ; ; ; ;2;1;2; ;3;5; ;2;5;12;70;848,721000368816
3373334;1;2;1;10;2;2;1;5;1984;29;2;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;12;70;848,721000368816
3373334;1;3;1;10;2;2;1;6;2000;13;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ;2;6;12;70;848,721000368816
3373334;1;4;1;10;2;2;1;10;2002;11;3;6;1; ; ;3; ; ;2;1;1;1;3;4; ;2;4;12;70;848,721000368816
3373334;1;5;1;10;2;2;1;2;2006;7;3; ;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;12;70;848,721000368816
3373334;1;6;1;10;2;2;1;9;2012;1;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;12;70;848,721000368816
3373335;1;1;1;10;1;1;1;2;1984;29;1;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;12;70;703,278985824802
3373335;1;2;1;10;2;2;1;10;1989;24;2;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;12;70;703,278985824802
3373335;1;3;1;10;2;1;1;12;2004;9;3; ;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;12;70;703,278985824802
3373335;1;4;1;10;2;1;1;9;2006;7;3; ;1; ; ;3; ; ;2;2;1;1;3;1; ;2;1;12;70;703,278985824802
3373336;1;1;1;10;1;1;1;10;1972;41;1;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;12;70;419,631115301159
3373336;1;2;1;10;2;2;1;12;1976;36;2;3;2;1;5; ; ; ;2;2;2; ;3;2; ;2;2;12;70;419,631115301159
3373336;1;3;1;10;3;1;1;3;1940;73;5;2;2;2; ; ; ; ;2;2;2; ;1;0; ;2;0;12;70;419,631115301159
3373336;1;4;1;10;4;2;1;8;1947;66;5;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;12;70;419,631115301159
