Directorio;Secuencia_p;Orden;Area;Regis;P6230;P6240;P6240s1;P6250;P6260;P6270;P6280;P6290;P6290s1;P6300;P6310;P6310s1;P6320;P6330;P6340;P6350;P6351;Dpto;Fex_c_2011
216304;2;2;05;50;1;6;VIAJANDO;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;889,466919648686
216304;2;3;05;50;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;889,466919648686
216304;2;4;05;50;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;889,466919648686
216304;2;5;05;50;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;889,466919648686
216305;2;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;856,463410121151
216305;2;2;05;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;856,463410121151
216306;2;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;803,971076093767
216306;2;2;05;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;803,971076093767
216306;2;3;05;50;2;6;ESTUDIANDO;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;803,971076093767
216307;2;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;781,353257813137
216307;2;2;05;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;781,353257813137
216307;2;3;05;50;2;6;CUIDANDO UN TIO EN  EL HOSPITAL;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;781,353257813137
216307;2;4;05;50;2;6;JUGANDO EN LA  CALLE;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;781,353257813137
216308;2;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;722,446895057411
216308;2;2;05;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;722,446895057411
216308;2;4;05;50;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;722,446895057411
216309;2;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;764,20324564293
216309;2;2;05;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;764,20324564293
216309;2;3;05;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;764,20324564293
216309;2;4;05;50;2;6;VER TV;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;764,20324564293
216309;2;5;05;50;2;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;764,20324564293
216310;2;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;816,91336781443
216310;2;2;05;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;816,91336781443
216311;2;1;05;50;1;4; ;2;2;2;2; ; ;1;8; ;2; ;2; ; ;05;900,704531112002
216312;2;1;05;50;1;6;DESCANSANDO;2;2;2;1;2; ; ; ; ; ; ; ; ;2;05;867,138719580599
216312;2;2;05;50;1;6;DESCANSANDO;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;867,138719580599
216314;2;1;05;50;3;6;EN LA  CASA;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;839,859675984977
216314;2;2;05;50;3;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;839,859675984977
216314;2;3;05;50;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;839,859675984977
216314;2;4;05;50;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;839,859675984977
216314;2;5;05;50;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;839,859675984977
216315;2;1;05;50;4;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;1191,0032538198
216315;2;2;05;50;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1191,0032538198
216315;2;3;05;50;4;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1191,0032538198
216315;2;4;05;50;4;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;1191,0032538198
216315;2;5;05;50;4;3; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;1191,0032538198
216317;2;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;784,478158246032
216317;2;2;05;50;2;4; ;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;784,478158246032
216317;2;3;05;50;2;6;VER TV  ,    JUGAR;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;784,478158246032
216317;2;4;05;50;2;6;JUGAR;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;784,478158246032
216317;2;5;05;50;2;6;JUGAR CON LAS  AMIGAS;2;2;2;2; ; ;2; ; ; ; ; ; ; ;05;784,478158246032
216318;2;1;05;50;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;1169,19035848432
